T, Cp, H, S
39100, 167.115799551, 2020503.73875, 299.278039448
39200, 166.868676912, 2037203.24144, 299.704591607
39300, 166.58838086, 2053876.36833, 300.12938503
39400, 166.275508048, 2070519.8317, 300.552345105
39500, 165.930676222, 2087130.40461, 300.973399328
39600, 165.554522841, 2103704.92287, 301.392477331
39700, 165.147703679, 2120240.28697, 301.80951091
39800, 164.71089144, 2136733.46382, 302.224434048
39900, 164.24477437, 2153181.48841, 302.63718293
40000, 163.750054878, 2169581.46527, 303.047695965
40100, 163.227448174, 2185930.5698, 303.45591379
40200, 162.677680911, 2202226.04954, 303.861779284
40300, 162.101489861, 2218465.22518, 304.265237568
40400, 161.499620594, 2234645.49156, 304.666236009
40500, 160.872826195, 2250764.31846, 305.064724217
40600, 160.221865998, 2266819.25127, 305.46065404
40700, 159.547504354, 2282807.9116, 305.853979556
40800, 158.850509427, 2298727.9977, 306.244657061
40900, 158.131652022, 2314577.28474, 306.632645057
41000, 157.391704452, 2330353.62509, 307.017904232
41100, 156.631439432, 2346054.94838, 307.400397448
41200, 155.85162902, 2361679.26147, 307.780089709
41300, 155.053043589, 2377224.64835, 308.156948149
41400, 154.236450846, 2392689.26995, 308.530941996
41500, 153.402614883, 2408071.36375, 308.902042552
41600, 152.552295276, 2423369.24347, 309.270223158
41700, 151.68624622, 2438581.2985, 309.635459164
41800, 150.805215714, 2453705.99335, 309.997727898
41900, 149.909944775, 2468741.86697, 310.35700863
42000, 149.001166712, 2483687.53207, 310.713282533
42100, 148.079606424, 2498541.67425, 311.06653265
42200, 147.145979754, 2513303.05115, 311.416743855
42300, 146.200992876, 2527970.49154, 311.763902811
42400, 145.245341729, 2542542.89427, 312.10799793
42500, 144.279711488, 2557019.22726, 312.449019335
42600, 143.304776075, 2571398.5264, 312.786958814
42700, 142.321197714, 2585679.89439, 313.121809782
42800, 141.329626519, 2599862.49953, 313.45356723
42900, 140.330700123, 2613945.57454, 313.782227693
43000, 139.325043344, 2627928.41523, 314.107789195
43100, 138.313267883, 2641810.37926, 314.430251213
43200, 137.295972063, 2655590.88481, 314.749614628
43300, 136.273740597, 2669269.40917, 315.065881684
43400, 135.24714439, 2682845.48745, 315.37905594
43500, 134.216740374, 2696318.71114, 315.689142233
43600, 133.183071368, 2709688.72671, 315.996146624
43700, 132.146665975, 2722955.23421, 316.300076362
43800, 131.1080385, 2736117.98585, 316.60093984
43900, 130.067688899, 2749176.78452, 316.898746547
44000, 129.026102752, 2762131.48243, 317.19350703
44100, 127.983751257, 2774981.97958, 317.485232851
44200, 126.941091254, 2787728.22241, 317.773936542
44300, 125.898565261, 2800370.20231, 318.059631568
44400, 124.856601544, 2812907.95422, 318.342332285
44500, 123.81561419, 2825341.55518, 318.622053899
44600, 122.776003214, 2837671.12295, 318.898812426
44700, 121.73815467, 2849896.81459, 319.172624657
44800, 120.702440786, 2862018.82506, 319.443508116
44900, 119.669220113, 2874037.38587, 319.711481026
45000, 118.638837682, 2885952.7637, 319.976562268
45100, 117.611625181, 2897765.25908, 320.238771352
45200, 116.58790114, 2909475.20504, 320.498128376
45300, 115.567971124, 2921082.96579, 320.754653995
45400, 114.552127943, 2932588.9355, 321.008369388
45500, 113.540651864, 2943993.53697, 321.259296222
45600, 112.533810834, 2955297.22039, 321.507456625
45700, 111.531860708, 2966500.46218, 321.752873155
45800, 110.535045487, 2977603.76371, 321.995568764
45900, 109.543597559, 2988607.6502, 322.235566776
46000, 108.557737941, 2999512.66951, 322.472890856
46100, 107.577676535, 3010319.39107, 322.707564983
46200, 106.603612376, 3021028.40474, 322.939613422
46300, 105.635733889, 3031640.31975, 323.169060699
46400, 104.674219149, 3042155.76365, 323.395931579
46500, 103.719236138, 3052575.38131, 323.620251037
46600, 102.770943006, 3062899.83388, 323.842044238
46700, 101.829488331, 3073129.79787, 324.061336515
46800, 100.895011379, 3083265.96415, 324.278153345
46900, 99.967642369, 3093309.03709, 324.49252033
47000, 99.0475027244, 3103259.73361, 324.704463176
47100, 98.1347053362, 3113118.78238, 324.914007675
47200, 97.2293548174, 3122886.92292, 325.121179683
47300, 96.3315477567, 3132564.9048, 325.326005108
47400, 95.4413729708, 3142153.48689, 325.528509888
47500, 94.5589117529, 3151653.43653, 325.728719975
47600, 93.6842381191, 3161065.52883, 325.926661323
47700, 92.8174190511, 3170390.54598, 326.122359869
47800, 91.9585147357, 3179629.27648, 326.315841521
47900, 91.1075788013, 3188782.51454, 326.507132142
48000, 90.2646585492, 3197851.05943, 326.69625754
48100, 89.4297951827, 3206835.71482, 326.883243453
48200, 88.603024031, 3215737.28821, 327.068115538
48300, 87.7843747692, 3224556.59036, 327.250899361
48400, 86.9738716341, 3233294.43471, 327.431620383
48500, 86.1715336357, 3241951.63687, 327.610303954
48600, 85.3773747639, 3250529.01408, 327.786975301
48700, 84.5914041911, 3259027.38477, 327.961659518
48800, 83.8136264696, 3267447.56802, 328.134381559
48900, 83.0440417254, 3275790.38317, 328.30516623
49000, 82.2826458462, 3284056.64933, 328.474038181
49100, 81.5294306655, 3292247.18503, 328.641021898
49200, 80.7843841418, 3300362.80776, 328.806141698
49300, 80.0474905329, 3308404.33363, 328.96942172
49400, 79.3187305663, 3316372.57699, 329.130885923
49500, 78.5980816038, 3324268.35011, 329.290558076
49600, 77.8855178025, 3332092.46282, 329.448461756
49700, 77.1810102708, 3339845.72222, 329.604620343
49800, 76.4845272198, 3347528.93236, 329.759057014
49900, 75.7960341105, 3355142.89399, 329.911794741
50000, 75.1154937961, 3362688.40428, 330.062856286
